camera,frame,id,class_name,confidence,x_center,y_center
CAMERA_DEBUT_COULOIR_DROIT.mp4,18,8,person,0.33,391.0948,641.14514
CAMERA_DEBUT_COULOIR_DROIT.mp4,19,8,person,0.35,391.15842,641.22974
CAMERA_DEBUT_COULOIR_DROIT.mp4,20,8,person,0.34,391.19363,641.3176
CAMERA_DEBUT_COULOIR_DROIT.mp4,21,8,person,0.31,391.25305,641.6123
CAMERA_DEBUT_COULOIR_DROIT.mp4,22,8,person,0.33,391.31586,641.74695
CAMERA_DEBUT_COULOIR_DROIT.mp4,23,8,person,0.36,391.3572,641.74817
CAMERA_DEBUT_COULOIR_DROIT.mp4,24,8,person,0.42,391.28082,641.4998
CAMERA_DEBUT_COULOIR_DROIT.mp4,25,8,person,0.47,391.21063,641.60114
CAMERA_DEBUT_COULOIR_DROIT.mp4,26,8,person,0.46,391.1741,641.9315
CAMERA_DEBUT_COULOIR_DROIT.mp4,27,8,person,0.46,390.93378,642.3319
CAMERA_DEBUT_COULOIR_DROIT.mp4,28,8,person,0.46,391.02057,642.15796
CAMERA_DEBUT_COULOIR_DROIT.mp4,29,8,person,0.46,391.03607,642.02136
CAMERA_DEBUT_COULOIR_DROIT.mp4,30,8,person,0.48,390.98785,641.8688
CAMERA_DEBUT_COULOIR_DROIT.mp4,30,23,person,0.31,369.53183,642.9844
CAMERA_DEBUT_COULOIR_DROIT.mp4,31,8,person,0.48,390.95828,641.7837
CAMERA_DEBUT_COULOIR_DROIT.mp4,31,23,person,0.32,369.3777,642.95886
CAMERA_DEBUT_COULOIR_DROIT.mp4,32,8,person,0.48,390.8877,641.8154
CAMERA_DEBUT_COULOIR_DROIT.mp4,32,23,person,0.33,369.25092,643.03577
CAMERA_DEBUT_COULOIR_DROIT.mp4,33,8,person,0.47,390.83698,641.8441
CAMERA_DEBUT_COULOIR_DROIT.mp4,33,23,person,0.31,369.21805,643.056
CAMERA_DEBUT_COULOIR_DROIT.mp4,34,8,person,0.45,390.83356,641.90894
CAMERA_DEBUT_COULOIR_DROIT.mp4,34,23,person,0.33,368.47638,643.67114
CAMERA_DEBUT_COULOIR_DROIT.mp4,35,8,person,0.46,390.8865,641.97656
CAMERA_DEBUT_COULOIR_DROIT.mp4,35,23,person,0.34,368.13406,643.85675
CAMERA_DEBUT_COULOIR_DROIT.mp4,36,8,person,0.48,390.71857,642.1637
CAMERA_DEBUT_COULOIR_DROIT.mp4,36,23,person,0.34,368.01373,643.87634
CAMERA_DEBUT_COULOIR_DROIT.mp4,36,30,person,0.31,344.0727,641.66785
CAMERA_DEBUT_COULOIR_DROIT.mp4,37,8,person,0.43,390.68018,642.2003
CAMERA_DEBUT_COULOIR_DROIT.mp4,37,23,person,0.31,368.0677,643.91736
CAMERA_DEBUT_COULOIR_DROIT.mp4,37,30,person,0.32,344.16754,641.7628
CAMERA_DEBUT_COULOIR_DROIT.mp4,38,8,person,0.41,390.6161,642.2394
